band	Rrs measured	Rrscorrected
400.000000	0.001178	0.001577
405.000000	0.001256	0.001657
410.000000	0.001347	0.001753
415.000000	0.001448	0.001859
420.000000	0.001564	0.001983
425.000000	0.001684	0.002109
430.000000	0.001799	0.002228
435.000000	0.001952	0.002392
440.000000	0.002121	0.002574
445.000000	0.002314	0.002782
450.000000	0.002518	0.003001
455.000000	0.002694	0.003183
460.000000	0.002873	0.003367
465.000000	0.003036	0.003531
470.000000	0.003212	0.003710
475.000000	0.003421	0.003925
480.000000	0.003637	0.004146
485.000000	0.003799	0.004305
490.000000	0.004002	0.004510
495.000000	0.004268	0.004786
500.000000	0.004525	0.005052
505.000000	0.004831	0.005372
510.000000	0.005154	0.005715
515.000000	0.005417	0.005991
520.000000	0.005756	0.006342
525.000000	0.006103	0.006699
530.000000	0.006402	0.007003
535.000000	0.006681	0.007288
540.000000	0.006892	0.007498
545.000000	0.007106	0.007713
550.000000	0.007294	0.007904
555.000000	0.007467	0.008075
560.000000	0.007629	0.008234
565.000000	0.007771	0.008370
570.000000	0.007795	0.008387
575.000000	0.007718	0.008303
580.000000	0.007468	0.008044
585.000000	0.007051	0.007623
590.000000	0.006467	0.007027
595.000000	0.005796	0.006343
600.000000	0.005122	0.005683
605.000000	0.004642	0.005193
610.000000	0.004412	0.004938
615.000000	0.004275	0.004781
620.000000	0.004180	0.004678
625.000000	0.004081	0.004571
630.000000	0.003973	0.004455
635.000000	0.003875	0.004351
640.000000	0.003771	0.004241
645.000000	0.003624	0.004088
650.000000	0.003455	0.003909
655.000000	0.003228	0.003681
660.000000	0.002977	0.003429
665.000000	0.002810	0.003251
670.000000	0.002712	0.003144
675.000000	0.002703	0.003139
680.000000	0.002745	0.003201
685.000000	0.002739	0.003211
690.000000	0.002666	0.003150
695.000000	0.002512	0.003002
700.000000	0.002246	0.002732
705.000000	0.001946	0.002421
710.000000	0.001641	0.002113
715.000000	0.001328	0.001798
720.000000	0.001008	0.001454
725.000000	0.000764	0.001186
730.000000	0.000549	0.000930
735.000000	0.000407	0.000748
740.000000	0.000336	0.000672
745.000000	0.000308	0.000622
750.000000	0.000298	0.000610
