Wind Speed	Solar Zenith Angle	ρ(θ) 40, 90	ρ(θ) 40,135
0	0	0.0306	0.0306
0	10	0.0301	0.0325
0	20	0.0287	0.0338
0	30	0.0264	0.0345
0	40	0.0232	0.0342
0	50	0.0194	0.0327
0	60	0.0151	0.0302
0	70	0.0112	0.0272
0	80	0.0083	0.0245
2	0	0.0338	0.0361
2	10	0.0324	0.0364
2	20	0.0308	0.0376
2	30	0.0284	0.0382
2	40	0.0250	0.0379
2	50	0.0210	0.0361
2	60	0.0168	0.0330
2	70	0.0131	0.0293
2	80	0.0107	0.0260
4	0	0.0370	0.0451
4	10	0.0345	0.0398
4	20	0.0322	0.0395
4	30	0.0298	0.0401
4	40	0.0261	0.0398
4	50	0.0220	0.0378
4	60	0.0176	0.0344
4	70	0.0138	0.0305
4	80	0.0115	0.0270
6	0	0.0422	0.0541
6	10	0.0387	0.0425
6	20	0.0340	0.0408
6	30	0.0306	0.0414
6	40	0.0267	0.0409
6	50	0.0225	0.0389
6	60	0.0181	0.0353
6	70	0.0143	0.0312
6	80	0.0120	0.0276
8	0	0.0492	0.0712
8	10	0.0454	0.0522
8	20	0.0376	0.0433
8	30	0.0333	0.0435
8	40	0.0280	0.0430
8	50	0.0236	0.0408
8	60	0.0190	0.0370
8	70	0.0151	0.0326
8	80	0.0128	0.0287
