52301-1-1	
250	0.1060
251	0.1055
252	0.1053
253	0.1051
254	0.1049
255	0.1046
256	0.1048
257	0.1043
258	0.1042
259	0.1040
260	0.1040
261	0.1038
262	0.1034
263	0.1035
264	0.1032
265	0.1031
266	0.1030
267	0.1026
268	0.1027
269	0.1026
270	0.1024
271	0.1023
272	0.1022
273	0.1022
274	0.1020
275	0.1019
276	0.1017
277	0.1019
278	0.1017
279	0.1014
280	0.1013
281	0.1011
282	0.1011
283	0.1011
284	0.1009
285	0.1010
286	0.1007
287	0.1004
288	0.1004
289	0.1003
290	0.1004
291	0.1002
292	0.1001
293	0.1002
294	0.1002
295	0.0999
296	0.0998
297	0.0997
298	0.0997
299	0.0997
300	0.0996
301	0.0996
302	0.0994
303	0.0993
304	0.0992
305	0.0992
306	0.0994
307	0.0992
308	0.0990
309	0.0990
310	0.0989
311	0.0990
312	0.0991
313	0.0990
314	0.0988
315	0.0988
316	0.0988
317	0.0987
318	0.0988
319	0.0993
320	0.0992
321	0.0993
322	0.0993
323	0.0994
324	0.0993
325	0.0992
326	0.0993
327	0.0992
328	0.0992
329	0.0991
330	0.0989
331	0.0991
332	0.0990
333	0.0990
334	0.0989
335	0.0989
336	0.0990
337	0.0990
338	0.0990
339	0.0989
340	0.0989
341	0.0989
342	0.0988
343	0.0986
344	0.0987
345	0.0988
346	0.0988
347	0.0987
348	0.0987
349	0.0987
350	0.0986
351	0.0984
352	0.0984
353	0.0985
354	0.0984
355	0.0984
356	0.0985
357	0.0985
358	0.0983
359	0.0983
360	0.0984
361	0.0984
362	0.0984
363	0.0984
364	0.0984
365	0.0984
366	0.0984
367	0.0986
368	0.0985
369	0.0986
370	0.0986
371	0.0984
372	0.0986
373	0.0988
374	0.0987
375	0.0986
376	0.0986
377	0.0986
378	0.0982
379	0.0977
380	0.0976
381	0.0976
382	0.0979
383	0.0982
384	0.0981
385	0.0983
386	0.0983
387	0.0982
388	0.0983
389	0.0983
390	0.0983
391	0.0983
392	0.0982
393	0.0982
394	0.0983
395	0.0984
396	0.0984
397	0.0984
398	0.0984
399	0.0984
400	0.0984
401	0.0983
402	0.0984
403	0.0983
404	0.0983
405	0.0984
406	0.0984
407	0.0983
408	0.0983
409	0.0984
410	0.0983
411	0.0984
412	0.0985
413	0.0985
414	0.0984
415	0.0985
416	0.0984
417	0.0985
418	0.0984
419	0.0986
420	0.0987
421	0.0986
422	0.0986
423	0.0986
424	0.0987
425	0.0986
426	0.0985
427	0.0986
428	0.0987
429	0.0986
430	0.0986
431	0.0987
432	0.0987
433	0.0988
434	0.0988
435	0.0987
436	0.0987
437	0.0987
438	0.0988
439	0.0988
440	0.0988
441	0.0988
442	0.0988
443	0.0987
444	0.0988
445	0.0988
446	0.0988
447	0.0988
448	0.0988
449	0.0989
450	0.0989
451	0.0989
452	0.0989
453	0.0990
454	0.0989
455	0.0990
456	0.0991
457	0.0990
458	0.0989
459	0.0990
460	0.0991
461	0.0991
462	0.0992
463	0.0991
464	0.0992
465	0.0993
466	0.0993
467	0.0993
468	0.0993
469	0.0994
470	0.0993
471	0.0993
472	0.0994
473	0.0995
474	0.0996
475	0.0996
476	0.0996
477	0.0997
478	0.0996
479	0.0997
480	0.0998
481	0.0998
482	0.0997
483	0.0997
484	0.0997
485	0.0996
486	0.0996
487	0.0996
488	0.0996
489	0.0997
490	0.0997
491	0.0998
492	0.0998
493	0.0999
494	0.0999
495	0.0999
496	0.1000
497	0.0999
498	0.0999
499	0.1000
500	0.0997
501	0.1000
502	0.1000
503	0.1001
504	0.1001
505	0.1002
506	0.1002
507	0.1004
508	0.1003
509	0.1003
510	0.1004
511	0.1004
512	0.1005
513	0.1005
514	0.1004
515	0.1006
516	0.1005
517	0.1005
518	0.1006
519	0.1006
520	0.1007
521	0.1007
522	0.1006
523	0.1007
524	0.1007
525	0.1007
526	0.1009
527	0.1009
528	0.1007
529	0.1008
530	0.1009
531	0.1010
532	0.1010
533	0.1010
534	0.1011
535	0.1009
536	0.1010
537	0.1010
538	0.1012
539	0.1011
540	0.1012
541	0.1011
542	0.1011
543	0.1012
544	0.1011
545	0.1012
546	0.1014
547	0.1012
548	0.1012
549	0.1014
550	0.1015
551	0.1014
552	0.1014
553	0.1014
554	0.1015
555	0.1016
556	0.1016
557	0.1016
558	0.1018
559	0.1016
560	0.1017
561	0.1017
562	0.1017
563	0.1015
564	0.1017
565	0.1016
566	0.1018
567	0.1018
568	0.1018
569	0.1019
570	0.1019
571	0.1020
572	0.1019
573	0.1019
574	0.1020
575	0.1021
576	0.1022
577	0.1022
578	0.1021
579	0.1020
580	0.1021
581	0.1021
582	0.1023
583	0.1023
