99AA03-0817-8375	
This data is for reference only	
250	0.9556
251	0.9576
252	0.9598
253	0.9603
254	0.9619
255	0.9627
256	0.9642
257	0.9648
258	0.9652
259	0.9687
260	0.9702
261	0.9713
262	0.9722
263	0.9739
264	0.9752
265	0.9767
266	0.9775
267	0.9787
268	0.9780
269	0.9798
270	0.9803
271	0.9805
272	0.9796
273	0.9793
274	0.9809
275	0.9807
276	0.9817
277	0.9820
278	0.9819
279	0.9823
280	0.9829
281	0.9824
282	0.9834
283	0.9837
284	0.9839
285	0.9832
286	0.9844
287	0.9854
288	0.9848
289	0.9844
290	0.9857
291	0.9873
292	0.9866
293	0.9866
294	0.9860
295	0.9855
296	0.9856
297	0.9874
298	0.9871
299	0.9874
300	0.9884
301	0.9886
302	0.9874
303	0.9875
304	0.9884
305	0.9889
306	0.9888
307	0.9884
308	0.9892
309	0.9880
310	0.9880
311	0.9885
312	0.9883
313	0.9882
314	0.9883
315	0.9887
316	0.9887
317	0.9885
318	0.9869
319	0.9819
320	0.9798
321	0.9811
322	0.9841
323	0.9834
324	0.9824
325	0.9818
326	0.9817
327	0.9822
328	0.9833
329	0.9819
330	0.9821
331	0.9830
332	0.9832
333	0.9829
334	0.9833
335	0.9833
336	0.9834
337	0.9831
338	0.9832
339	0.9837
340	0.9838
341	0.9840
342	0.9838
343	0.9834
344	0.9831
345	0.9834
346	0.9840
347	0.9832
348	0.9839
349	0.9839
350	0.9835
351	0.9842
352	0.9851
353	0.9848
354	0.9845
355	0.9851
356	0.9851
357	0.9849
358	0.9842
359	0.9839
360	0.9837
361	0.9829
362	0.9833
363	0.9844
364	0.9844
365	0.9847
366	0.9843
367	0.9835
368	0.9838
369	0.9843
370	0.9846
371	0.9846
372	0.9836
373	0.9846
374	0.9846
375	0.9843
376	0.9843
377	0.9857
378	0.9858
379	0.9844
380	0.9847
381	0.9850
382	0.9846
383	0.9844
384	0.9843
385	0.9839
386	0.9849
387	0.9855
388	0.9856
389	0.9858
390	0.9863
391	0.9861
392	0.9860
393	0.9859
394	0.9857
395	0.9860
396	0.9867
397	0.9867
398	0.9865
399	0.9858
400	0.9864
401	0.9872
402	0.9867
403	0.9861
404	0.9863
405	0.9871
406	0.9865
407	0.9860
408	0.9863
409	0.9869
410	0.9864
411	0.9863
412	0.9859
413	0.9863
414	0.9868
415	0.9869
416	0.9870
417	0.9869
418	0.9870
419	0.9872
420	0.9870
421	0.9863
422	0.9865
423	0.9866
424	0.9862
425	0.9865
426	0.9863
427	0.9865
428	0.9867
429	0.9872
430	0.9869
431	0.9864
432	0.9861
433	0.9865
434	0.9868
435	0.9870
436	0.9876
437	0.9871
438	0.9870
439	0.9873
440	0.9870
441	0.9865
442	0.9867
443	0.9867
444	0.9863
445	0.9865
446	0.9871
447	0.9865
448	0.9862
449	0.9873
450	0.9869
451	0.9870
452	0.9865
453	0.9866
454	0.9869
455	0.9867
456	0.9871
457	0.9867
458	0.9870
459	0.9867
460	0.9868
461	0.9870
462	0.9872
463	0.9869
464	0.9865
465	0.9867
466	0.9865
467	0.9866
468	0.9870
469	0.9871
470	0.9873
471	0.9871
472	0.9869
473	0.9873
474	0.9872
475	0.9872
476	0.9872
477	0.9874
478	0.9875
479	0.9877
480	0.9876
481	0.9876
482	0.9873
483	0.9879
484	0.9881
485	0.9877
486	0.9869
487	0.9870
488	0.9871
489	0.9876
490	0.9878
491	0.9876
492	0.9875
493	0.9875
494	0.9868
495	0.9879
496	0.9875
497	0.9879
498	0.9877
499	0.9874
500	0.9872
501	0.9871
502	0.9877
503	0.9882
504	0.9879
505	0.9874
506	0.9870
507	0.9878
508	0.9878
509	0.9882
510	0.9877
511	0.9883
512	0.9879
513	0.9881
514	0.9878
515	0.9879
516	0.9880
517	0.9870
518	0.9876
519	0.9883
520	0.9884
521	0.9872
522	0.9879
523	0.9875
524	0.9877
525	0.9879
526	0.9886
527	0.9879
528	0.9880
529	0.9884
530	0.9886
531	0.9881
532	0.9877
533	0.9877
534	0.9883
535	0.9877
536	0.9884
537	0.9884
538	0.9882
539	0.9880
540	0.9878
541	0.9885
542	0.9878
543	0.9884
544	0.9881
545	0.9877
546	0.9877
547	0.9881
548	0.9879
549	0.9884
550	0.9879
551	0.9882
552	0.9884
553	0.9879
554	0.9878
555	0.9885
556	0.9884
557	0.9877
558	0.9881
559	0.9880
560	0.9879
561	0.9880
562	0.9881
563	0.9879
564	0.9882
565	0.9882
566	0.9878
567	0.9877
568	0.9875
569	0.9881
570	0.9877
571	0.9880
572	0.9882
573	0.9878
574	0.9881
575	0.9879
576	0.9880
577	0.9883
578	0.9884
579	0.9885
580	0.9879
581	0.9880
582	0.9883
583	0.9879
584	0.9877
585	0.9881
586	0.9882
587	0.9877
588	0.9878
589	0.9883
590	0.9881
591	0.9882
592	0.9878
593	0.9880
594	0.9875
595	0.9879
596	0.9879
597	0.9886
598	0.9881
599	0.9884
600	0.9879
601	0.9882
602	0.9885
603	0.9886
604	0.9881
605	0.9881
606	0.9883
607	0.9881
608	0.9878
609	0.9884
610	0.9881
611	0.9878
612	0.9876
613	0.9877
614	0.9880
615	0.9880
616	0.9879
617	0.9879
618	0.9878
619	0.9882
620	0.9877
621	0.9882
622	0.9884
623	0.9883
624	0.9885
625	0.9882
626	0.9878
627	0.9881
628	0.9882
629	0.9883
630	0.9885
631	0.9884
632	0.9883
633	0.9882
634	0.9884
635	0.9884
636	0.9878
637	0.9877
638	0.9877
639	0.9876
640	0.9881
641	0.9884
642	0.9880
643	0.9874
644	0.9875
645	0.9881
646	0.9879
647	0.9878
648	0.9878
649	0.9873
650	0.9871
651	0.9875
652	0.9877
653	0.9876
654	0.9874
655	0.9875
656	0.9877
657	0.9875
658	0.9878
659	0.9876
660	0.9874
661	0.9875
662	0.9876
663	0.9879
664	0.9879
665	0.9877
666	0.9881
667	0.9881
668	0.9881
669	0.9881
670	0.9877
671	0.9878
672	0.9880
673	0.9880
674	0.9879
675	0.9875
676	0.9874
677	0.9876
678	0.9882
679	0.9880
680	0.9872
681	0.9875
682	0.9876
683	0.9877
684	0.9879
685	0.9880
686	0.9876
687	0.9875
688	0.9876
689	0.9875
690	0.9877
691	0.9880
692	0.9877
693	0.9873
694	0.9878
695	0.9877
696	0.9870
697	0.9874
698	0.9877
699	0.9874
700	0.9872
701	0.9879
702	0.9879
703	0.9872
704	0.9876
705	0.9875
706	0.9870
707	0.9872
708	0.9869
709	0.9875
710	0.9878
711	0.9876
712	0.9875
713	0.9872
714	0.9870
715	0.9870
716	0.9874
717	0.9874
718	0.9870
719	0.9875
720	0.9875
721	0.9878
722	0.9870
723	0.9865
724	0.9874
725	0.9870
726	0.9858
727	0.9866
728	0.9873
729	0.9874
730	0.9879
731	0.9879
732	0.9873
733	0.9875
734	0.9879
735	0.9872
736	0.9866
737	0.9867
738	0.9885
739	0.9876
740	0.9873
741	0.9873
742	0.9877
743	0.9876
744	0.9867
745	0.9869
746	0.9877
747	0.9879
748	0.9876
749	0.9868
750	0.9873
751	0.9875
752	0.9872
753	0.9874
754	0.9871
755	0.9872
756	0.9879
757	0.9877
758	0.9883
759	0.9876
760	0.9864
761	0.9873
762	0.9874
763	0.9870
764	0.9873
765	0.9883
766	0.9872
767	0.9869
768	0.9872
769	0.9862
770	0.9865
771	0.9876
772	0.9875
773	0.9877
774	0.9867
775	0.9859
776	0.9881
777	0.9866
778	0.9879
779	0.9871
780	0.9869
781	0.9868
782	0.9873
783	0.9863
784	0.9872
785	0.9877
786	0.9866
787	0.9870
788	0.9868
789	0.9881
790	0.9880
791	0.9868
792	0.9877
793	0.9875
794	0.9863
795	0.9876
796	0.9863
797	0.9856
798	0.9851
799	0.9873
800	0.9879
801	0.9881
802	0.9874
803	0.9881
804	0.9886
805	0.9859
806	0.9872
807	0.9883
808	0.9875
809	0.9858
810	0.9887
811	0.9879
812	0.9853
813	0.9881
814	0.9860
815	0.9871
816	0.9888
817	0.9887
818	0.9863
819	0.9883
820	0.9863
821	0.9872
822	0.9879
823	0.9878
824	0.9876
825	0.9883
826	0.9862
827	0.9883
828	0.9871
829	0.9858
830	0.9880
831	0.9876
832	0.9865
833	0.9899
834	0.9894
835	0.9878
836	0.9906
837	0.9881
838	0.9867
839	0.9867
840	0.9902
841	0.9877
842	0.9884
843	0.9895
844	0.9862
845	0.9877
846	0.9912
