band	Rrs measured	Rrscorrected
400.000000	0.001317	0.001558
405.000000	0.001377	0.001615
410.000000	0.001436	0.001672
415.000000	0.001522	0.001759
420.000000	0.001608	0.001846
425.000000	0.001703	0.001941
430.000000	0.001792	0.002031
435.000000	0.001938	0.002183
440.000000	0.002085	0.002336
445.000000	0.002257	0.002516
450.000000	0.002433	0.002698
455.000000	0.002591	0.002860
460.000000	0.002745	0.003016
465.000000	0.002884	0.003155
470.000000	0.003038	0.003311
475.000000	0.003224	0.003501
480.000000	0.003416	0.003696
485.000000	0.003532	0.003809
490.000000	0.003680	0.003956
495.000000	0.003844	0.004122
500.000000	0.003973	0.004251
505.000000	0.004126	0.004407
510.000000	0.004263	0.004551
515.000000	0.004345	0.004635
520.000000	0.004494	0.004784
525.000000	0.004664	0.004955
530.000000	0.004795	0.005086
535.000000	0.004893	0.005182
540.000000	0.004958	0.005245
545.000000	0.005025	0.005311
550.000000	0.005087	0.005375
555.000000	0.005162	0.005450
560.000000	0.005241	0.005528
565.000000	0.005295	0.005580
570.000000	0.005274	0.005559
575.000000	0.005167	0.005450
580.000000	0.004937	0.005220
585.000000	0.004556	0.004839
590.000000	0.004028	0.004305
595.000000	0.003467	0.003736
600.000000	0.002898	0.003170
605.000000	0.002524	0.002787
610.000000	0.002342	0.002588
615.000000	0.002231	0.002466
620.000000	0.002152	0.002382
625.000000	0.002077	0.002302
630.000000	0.001997	0.002217
635.000000	0.001941	0.002159
640.000000	0.001883	0.002099
645.000000	0.001807	0.002021
650.000000	0.001713	0.001923
655.000000	0.001572	0.001780
660.000000	0.001423	0.001629
665.000000	0.001350	0.001553
670.000000	0.001346	0.001553
675.000000	0.001393	0.001610
680.000000	0.001445	0.001677
685.000000	0.001424	0.001663
690.000000	0.001311	0.001543
695.000000	0.001157	0.001379
700.000000	0.000985	0.001196
705.000000	0.000823	0.001022
710.000000	0.000675	0.000869
715.000000	0.000539	0.000732
720.000000	0.000408	0.000591
725.000000	0.000300	0.000469
730.000000	0.000211	0.000361
735.000000	0.000147	0.000274
740.000000	0.000122	0.000248
745.000000	0.000109	0.000223
750.000000	0.000105	0.000218
