4
Z. Lee, J. Wei, K. Voss, M. Lewis, A. Bricaud, and Y. Huot, "Hyperspectral absorption coefficient of ¡°pure¡± seawater in the range of 350¨C550 nm inverted from remote sensing reflectance," Appl. Opt. 54, 546-558 (2015).
R. M. Pope, and E. S. Fry, "Absorption spectrum (380¨C700 nm) of pure water. II. Integrating cavity measurements," Appl. Opt. 36, 8710-8723 (1997).
A. Morel, "Optical properties of pure water and pure sea water," Optical aspects of oceanography 1, 1-24 (1974).
wl	a	b
400	0.0032	0.0076
405	0.0032	0.007204684
410	0.0031	0.006834409
415	0.0031	0.006487311
420	0.0032	0.006161687
425	0.0033	0.005855974
430	0.0036	0.005568743
435	0.0038	0.005298681
440	0.0044	0.00504458
445	0.0054	0.004805333
450	0.0068	0.004579918
455	0.0073	0.004367396
460	0.0076	0.004166898
465	0.0081	0.003977625
470	0.0089	0.003798838
475	0.0099	0.003629853
480	0.0109	0.003470038
485	0.0118	0.003318808
490	0.0132	0.003175619
495	0.0154	0.003039969
500	0.0187	0.002911391
505	0.0230	0.00278945
510	0.0302	0.002673744
515	0.0368	0.002563896
520	0.0387	0.002459559
525	0.0400	0.002360405
530	0.0418	0.002266133
535	0.0443	0.002176458
540	0.0470	0.002091117
545	0.0507	0.002009864
550	0.0562	0.001932467
555	0.0596	0.00185871
560	0.0619	0.001788393
565	0.0642	0.001721326
570	0.0695	0.001657333
575	0.0772	0.001596246
580	0.0896	0.001537911
585	0.11	0.001482181
590	0.1351	0.00142892
595	0.1672	0.001377998
600	0.2224	0.001329294
605	0.2577	0.001282695
610	0.2644	0.001238093
615	0.2678	0.001195387
620	0.2755	0.001154482
625	0.2834	0.001115289
630	0.2916	0.001077723
635	0.3012	0.001041704
640	0.3108	0.001007158
645	0.325	0.000974013
650	0.34	0.000942202
655	0.371	0.000911662
660	0.41	0.000882333
665	0.429	0.000854159
670	0.439	0.000827085
675	0.448	0.000801061
680	0.465	0.000776038
685	0.486	0.000751973
690	0.516	0.00072882
695	0.559	0.00070654
700	0.624	0.000685094
705	0.704	0.000664444
710	0.827	0.000644556
715	1.007	0.000625397
720	1.231	0.000606934
725	1.489	0.000589139
730	1.799	0.000571983
735	2.0895	0.000555439
740	2.38	0.00053948
745	2.425	0.000524082
750	2.47	0.000509223
755	2.51	0.00049488
760	2.55	0.000481031
765	2.53	0.000467657
770	2.51	0.000454738
775	2.435	0.000442257
780	2.36	0.000430194
785	2.26	0.000418535
790	2.16	0.000407263
795	2.115	0.000396363
800	2.07	0.00038582
