10AA01-0114-0086	
250	0.0786
251	0.0783
252	0.0781
253	0.0777
254	0.0775
255	0.0774
256	0.0771
257	0.0768
258	0.0766
259	0.0764
260	0.0762
261	0.0760
262	0.0759
263	0.0758
264	0.0756
265	0.0754
266	0.0752
267	0.0751
268	0.0750
269	0.0748
270	0.0746
271	0.0745
272	0.0744
273	0.0742
274	0.0741
275	0.0741
276	0.0739
277	0.0738
278	0.0738
279	0.0736
280	0.0734
281	0.0733
282	0.0733
283	0.0732
284	0.0730
285	0.0729
286	0.0728
287	0.0727
288	0.0727
289	0.0727
290	0.0726
291	0.0725
292	0.0724
293	0.0724
294	0.0724
295	0.0722
296	0.0721
297	0.0721
298	0.0721
299	0.0720
300	0.0718
301	0.0718
302	0.0717
303	0.0717
304	0.0715
305	0.0716
306	0.0716
307	0.0714
308	0.0713
309	0.0712
310	0.0712
311	0.0711
312	0.0710
313	0.0710
314	0.0710
315	0.0709
316	0.0709
317	0.0709
318	0.0711
319	0.0712
320	0.0710
321	0.0709
322	0.0708
323	0.0709
324	0.0707
325	0.0706
326	0.0707
327	0.0707
328	0.0707
329	0.0707
330	0.0707
331	0.0706
332	0.0705
333	0.0705
334	0.0706
335	0.0707
336	0.0705
337	0.0704
338	0.0703
339	0.0703
340	0.0704
341	0.0704
342	0.0705
343	0.0703
344	0.0702
345	0.0702
346	0.0702
347	0.0702
348	0.0703
349	0.0703
350	0.0702
351	0.0701
352	0.0701
353	0.0702
354	0.0701
355	0.0701
356	0.0701
357	0.0702
358	0.0700
359	0.0700
360	0.0700
361	0.0700
362	0.0700
363	0.0700
364	0.0700
365	0.0701
366	0.0701
367	0.0700
368	0.0700
369	0.0700
370	0.0701
371	0.0701
372	0.0701
373	0.0701
374	0.0701
375	0.0702
376	0.0701
377	0.0701
378	0.0700
379	0.0700
380	0.0699
381	0.0700
382	0.0700
383	0.0699
384	0.0699
385	0.0701
386	0.0701
387	0.0701
388	0.0701
389	0.0701
390	0.0701
391	0.0701
392	0.0701
393	0.0701
394	0.0701
395	0.0702
396	0.0703
397	0.0702
398	0.0702
399	0.0702
400	0.0703
401	0.0702
402	0.0703
403	0.0703
404	0.0704
405	0.0704
406	0.0704
407	0.0704
408	0.0704
409	0.0704
410	0.0704
411	0.0704
412	0.0705
413	0.0705
414	0.0706
415	0.0705
416	0.0705
417	0.0705
418	0.0705
419	0.0706
420	0.0706
421	0.0706
422	0.0707
423	0.0707
424	0.0707
425	0.0707
426	0.0707
427	0.0708
428	0.0708
429	0.0707
430	0.0708
431	0.0708
432	0.0708
433	0.0708
434	0.0709
435	0.0709
436	0.0709
437	0.0710
438	0.0710
439	0.0711
440	0.0711
441	0.0711
442	0.0711
